procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485712 5994460 29517552 175797152    0    0     4   218 9131 13208  4  0 96  0  0	
 0  0 485712 5978648 29517552 175797216    0    0     0  1303 4087 5028  0  0 99  0  0	
 1  0 485712 5974672 29517552 175797568    0    0   128  1395 9838 14147  4  1 95  0  0	
 1  0 485712 5986828 29517552 175797728    0    0     0   250 3762 4555  0  0 99  0  0	
 0  0 485712 5988924 29517552 175797808    0    0     0   404 3663 4566  0  0 100  0  0	
 1  0 485712 6001352 29517552 175797824    0    0     0   347 9579 14117  2  0 97  0  0	
 1  0 485712 6001160 29517552 175797872    0    0     0   344 3572 4728  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 485712 5999112 29517552 175797936    0    0     4   274 8643 12679  4  0 96  0  0	
 1  0 485712 5999256 29517552 175798080    0    0     0   426 3618 4563  0  0 100  0  0	
 1  0 485712 5976668 29517552 175798208    0    0     0  1016 4436 4961  1  0 99  0  0	
 1  0 485712 5977356 29517552 175798240    0    0     0   318 8754 13538  2  0 98  0  0	
 1  0 485712 5974292 29517552 175798288    0    0     0   546 3802 4774  0  0 99  0  0	
 1  0 485712 5972564 29517552 175798368    0    0     0   402 9851 14491  2  0 97  0  0	
 1  0 485712 5971076 29517552 175798400    0    0     0   530 4286 5488  0  0 99  0  0	
 1  0 485712 5972152 29517552 175798640    0    0     0   582 3531 4623  0  0 100  0  0	
 1  0 485712 5972656 29517552 175798656    0    0     0   142 8542 12119  4  0 96  0  0	
 1  0 485712 5907972 29517552 175798720    0    0     0   437 4396 5058  1  1 98  0  0	
 1  0 485712 5985332 29517552 175798784    0    0     0   364 8973 13678  2  0 98  0  0	
 0  0 485712 5995068 29517552 175798928    0    0     0   220 3517 4341  0  0 100  0  0	
 1  0 485712 5994960 29517552 175798976    0    0     0   551 3656 4605  0  0 99  0  0	
 1  0 485712 5913252 29517552 175799008    0    0     4   292 8828 13250  2  1 97  0  0	
 0  0 485712 5911288 29517552 175799040    0    0     0   287 3867 4791  0  0 100  0  0	
 1  0 485712 5909920 29517552 175799120    0    0     0   349 9422 13702  4  0 96  0  0	
 1  0 485712 5909612 29517552 175799264    0    0     0   412 3667 4872  0  0 100  0  0	
 0  0 485712 5924352 29517552 175799328    0    0     0   708 3980 4316  0  0 99  0  0	
 4  0 485712 5927096 29517552 175799328    0    0     0   259 8894 13488  2  0 98  0  0	
 0  0 485712 5921588 29517552 175799392    0    0     0   412 4048 4878  0  0 99  0  0	
 1  0 485712 5920700 29517552 175799456    0    0     4   296 9771 14157  2  0 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485712 5917100 29517552 175799616    0    0     0   438 4207 4904  0  0 99  0  0	
 0  0 485712 5896228 29517552 175799680    0    0     0   966 4142 4718  0  0 99  0  0	
