procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484536 5348112 29511360 176503152    0    0     0   321 4373 5161  0  0 99  0  0	
 2  0 484536 5345360 29511360 176503216    0    0     0   260 4540 5449  1  1 99  0  0	
 3  0 484536 5292136 29511360 176498880    0    0     0   640 9674 6434  2  4 95  0  0	
 1  0 484536 5273852 29511360 176499104    0    0     4   525 5213 5713  1  1 98  0  0	
 1  0 484536 5269944 29511360 176499200    0    0     0   178 5175 5824  4  0 96  0  0	
 1  0 484536 5268816 29511360 176499248    0    0     0   453 4123 5253  0  0 99  0  0	
 2  0 484536 5266820 29511360 176499328    0    0     0   451 4321 5605  0  0 99  0  0	
 0  0 484536 5266992 29511360 176499360    0    0     0   372 4281 5426  1  0 99  0  0	
 3  0 484536 5264184 29511360 176499568    0    0     0   544 4110 5369  0  0 99  0  0	
 3  0 484536 5261308 29511360 176499712    0    0    56   266 3604 4573  1  0 99  0  0	
 2  0 484536 5262516 29511360 176499776    0    0     0   254 3718 4910  0  0 100  0  0	
 2  0 484536 5257924 29511360 176499840    0    0     0   437 4231 5054  1  0 99  0  0	
 2  0 484536 5256384 29511360 176499856    0    0     0   486 4470 5706  1  0 98  0  0	
 2  0 484536 5257520 29511360 176500032    0    0     0   280 4021 4824  0  0 99  0  0	
 1  0 484536 5255152 29511360 176500064    0    0     0   182 3395 4470  0  0 100  0  0	
 1  0 484536 5250572 29511364 176500112    0    0     4   334 4261 5158  1  0 99  0  0	
 0  0 484536 5248004 29511364 176500208    0    0     4   340 3931 4947  1  0 99  0  0	
 3  0 484536 5249032 29511364 176500224    0    0     0   730 3321 4161  0  0 99  0  0	
 4  0 484536 5235756 29511364 176500368    0    0     0   436 4832 5381  1  0 98  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484536 5228832 29511364 176500416    0    0     0   238 3788 4624  1  0 99  0  0	
 0  0 484536 5226940 29511364 176500480    0    0     0   380 4176 4956  1  0 99  0  0	
 2  0 484536 5225292 29511364 176500544    0    0     0   331 3851 4893  0  0 100  0  0	
 1  0 484536 5191848 29511364 176500560    0    0     0   682 3768 4463  1  0 99  0  0	
 2  0 484536 5205584 29511364 176500704    0    0     0   432 3909 4823  1  0 99  0  0	
 1  0 484536 5205844 29511364 176500752    0    0     0   204 3274 4401  0  0 100  0  0	
 0  0 484536 5206212 29511364 176500784    0    0     0   244 3801 4931  0  0 100  0  0	
 5  0 484536 5207276 29511364 176500864    0    0     0   488 4032 5094  1  0 99  0  0	
 1  0 484536 5230568 29511364 176500880    0    0     0   722 3699 4566  1  0 99  0  0	
 2  0 484536 5230796 29511364 176501040    0    0     0   332 3470 4810  0  0 100  0  0	
 1  0 484536 5230896 29511364 176501216    0    0     0   332 3569 4467  1  0 99  0  0	
 2  0 484536 5228812 29511364 176501248    0    0     0   382 3892 4910  0  0 99  0  0	
 0  0 484536 5231628 29511364 176501312    0    0     0   258 4700 5879  1  0 99  0  0	
 2  0 484536 5232484 29511364 176501344    0    0     0   596 3268 4164  0  0 100  0  0	
 1  0 484536 5229316 29511364 176501520    0    0     0   423 3981 5383  0  0 100  0  0	
 1  0 484536 5219520 29511364 176501600    0    0     0   154 5186 6050  4  0 96  0  0	
 2  0 484536 5216712 29511364 176501632    0    0     0   324 4262 5189  1  0 99  0  0	
 0  0 484536 5217260 29511364 176501728    0    0     0   323 3891 5239  0  0 100  0  0	
 1  0 484536 5218020 29511364 176501760    0    0     4   306 4146 5090  0  0 99  0  0	
 1  0 484536 5211068 29511364 176501984    0    0     0   471 4798 5498  1  0 99  0  0	
 2  0 484536 5207524 29511364 176502032    0    0     4   362 3429 4472  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 484536 5208916 29511364 176502080    0    0     0   278 4297 5266  1  0 99  0  0	
 1  0 484536 5285400 29511364 176502160    0    0     0   284 3722 4908  0  0 99  0  0	
 3  0 484536 5212040 29511364 176502176    0    0     0   530 4343 5278  1  1 98  0  0	
 0  0 484536 5209716 29511364 176502336    0    0     0   283 4174 4922  1  0 99  0  0	
 1  0 484536 5207644 29511364 176502384    0    0     0   218 3360 4311  0  0 100  0  0	
 2  0 484536 5207220 29511364 176502416    0    0     0   354 4045 5062  0  0 99  0  0	
 1  0 484536 5213364 29511364 176502464    0    0     0   268 3593 4802  1  0 99  0  0	
 0  0 484536 5211616 29511364 176502512    0    0     0   764 3507 4560  0  0 100  0  0	
 1  0 484536 5211400 29511364 176502656    0    0     0   271 3817 4669  0  0 99  0  0	
 1  0 484536 5208872 29511364 176502720    0    0     4   152 3401 4348  0  0 100  0  0	
 1  0 484536 5207452 29511364 176502784    0    0     0   328 4254 5163  0  0 99  0  0	
 2  0 484536 5218184 29511364 176502848    0    0     0   396 4003 4828  0  0 99  0  0	
 4  0 484536 5219560 29511364 176502848    0    0     0   614 3931 4503  0  0 99  0  0	
 1  0 484536 5218440 29511364 176503024    0    0     8   323 3926 4559  1  0 99  0  0	
 2  0 484536 5218976 29511364 176503072    0    0     0   334 3114 4146  0  0 100  0  0	
 3  0 484536 5216380 29511364 176503088    0    0     0   286 4256 5123  0  0 99  0  0	
 2  0 484536 5217556 29511364 176503184    0    0     0   442 4138 5207  1  0 99  0  0	
 3  0 484536 5223328 29511364 176503200    0    0     0   657 3810 4345  0  0 99  0  0	
 1  0 484536 5222112 29511364 176503360    0    0     0   301 3534 4610  0  0 99  0  0	
 2  0 484536 5226772 29511364 176503440    0    0     8   206 3771 4328  2  0 98  0  0	
 3  0 484536 5230372 29511364 176503488    0    0     0   342 4407 4971  1  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 484536 5230692 29511364 176503552    0    0     4   242 4726 5863  2  0 98  0  0	
 1  0 484536 5238388 29511364 176503584    0    0     4   758 3957 4455  2  0 98  0  0	
 2  0 484536 5238088 29511364 176503776    0    0     0   447 4339 5245  1  0 98  0  0	
 2  0 484536 5238276 29511364 176503856    0    0     4   202 3888 4457  2  0 98  0  0	
 1  0 484536 5234880 29511364 176503920    0    0     0   386 6634 6921  6  0 94  0  0	
 2  0 484536 5233908 29511364 176504000    0    0     0   376 3961 5227  0  0 99  0  0	
 2  0 484536 5231576 29511364 176504032    0    0     0   735 4729 5913  2  0 98  0  0	
 1  0 484536 5227692 29511364 176504256    0    0     4   440 4622 5241  2  0 98  0  0	
 3  0 484536 5228060 29511364 176504288    0    0    32   292 3718 4448  2  0 98  0  0	
 5  0 484536 5228452 29511364 176504400    0    0     0   308 3822 4822  1  0 99  0  0	
 2  0 484536 5229292 29511364 176504480    0    0     4   286 4000 4613  2  0 98  0  0	
 1  0 484536 5229676 29511364 176504512    0    0     8   540 3883 4582  2  0 98  0  0	
 3  0 484536 5242264 29511364 176504656    0    0    40   224 6970 5454  2  3 95  0  0	
 1  1 484536 5239944 29511364 176504784    0    0     4   246 3807 4510  1  1 98  0  0	
 2  0 484536 5230552 29511364 176504832    0    0     0   348 4929 5295  2  0 98  0  0	
 3  0 484536 5225352 29511364 176504928    0    0     4   320 4811 5246  1  0 98  0  0	
 4  0 484536 5225184 29511364 176504944    0    0     0   694 3796 4355  2  0 98  0  0	
 1  0 484536 5226116 29511364 176505088    0    0     0   404 3862 4865  0  0 99  0  0	
 0  0 484536 5224940 29511364 176505136    0    0     0   136 3171 4220  0  0 100  0  0	
 2  0 484536 5225900 29511364 176505312    0    0     0   416 3848 4816  0  0 99  0  0	
 2  0 484536 5221944 29511364 176505392    0    0    18   492 4519 5026  1  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 484536 5214344 29511364 176505440    0    0     4   776 3947 4769  1  0 99  0  0	
 0  0 484536 5215980 29511364 176505728    0    0    62   344 3319 4626  0  0 100  0  0	
 0  0 484536 5215988 29511364 176505792    0    0     0   290 3310 4329  0  0 100  0  0	
 2  0 484536 5218096 29511364 176505824    0    0     4   232 3610 4909  0  0 100  0  0	
 3  0 484536 5213600 29511364 176505904    0    0     0   436 4576 5585  1  0 99  0  0	
 0  0 484536 5213172 29511364 176505920    0    0     0   828 3761 4751  0  0 99  0  0	
 4  0 484536 5213500 29511364 176507296    0    0   608  1418 4635 5523  1  0 98  0  0	
 4  0 484536 5040904 29511364 176507488    0    0    64   296 6957 5830  6  1 92  0  0	
 5  0 484536 5002148 29511364 176507584    0    0    24   387 6639 5578  5  1 94  0  0	
 5  0 484536 4931388 29511364 176507648    0    0     4   257 4265 4967  2  1 98  0  0	
 2  0 484536 4922344 29511364 176507680    0    0    20   788 7243 5796  9  0 91  0  0	
 1  0 484536 4919468 29511364 176507904    0    0     8   507 6074 6352  4  0 96  0  0	
 3  0 484536 4920416 29511364 176508000    0    0     8   160 4792 5148  4  0 95  0  0	
 6  0 484536 4918760 29511364 176508048    0    0     4   454 5409 6637  2  0 98  0  0	
 2  0 484536 4918336 29511364 176508160    0    0     0   290 4140 5508  1  0 99  0  0	
 0  0 484536 4919700 29511364 176508176    0    0     0   404 4055 5214  0  0 99  0  0	
 2  0 484536 4916468 29511364 176508384    0    0     0   457 3920 5150  0  0 99  0  0	
 4  0 484536 4917400 29511364 176508432    0    0     0   188 3221 4275  0  0 100  0  0	
 0  0 484536 4913960 29511364 176508480    0    0     0   296 3877 5081  0  0 100  0  0	
 2  0 484536 4913836 29511364 176508544    0    0     0   335 3784 4862  0  0 100  0  0	
 3  0 484536 4913588 29511364 176508560    0    0     0   534 3243 4415  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 484536 4913736 29511364 176508704    0    0     0   160 3338 4543  0  0 100  0  0	
 1  0 484536 4913008 29511364 176508752    0    0     0   196 3379 4353  0  0 100  0  0	
 0  0 484536 4911752 29511364 176508800    0    0     0   256 3720 4675  0  0 100  0  0	
 2  0 484536 4892888 29511364 176508864    0    0    20   326 4705 5117  3  0 96  0  0	
 2  0 484536 4893052 29511364 176508928    0    0     0   784 3330 4280  0  0 100  0  0	
 2  0 484536 4893284 29511364 176509088    0    0     0   212 3303 4505  0  0 100  0  0	
 4  0 484536 4904160 29511364 176504560    0    0     0   240 4895 4393  1  3 97  0  0	
 2  0 484536 4903744 29511364 176504832    0    0     0   546 4645 5142  1  1 98  0  0	
 1  0 484536 4893920 29511364 176504896    0    0     0   365 4399 5147  1  0 99  0  0	
 1  0 484536 4899736 29511364 176504912    0    0     0   809 4153 4691  1  0 99  0  0	
 0  0 484536 4898032 29511364 176505056    0    0    56   259 4365 4895  1  0 99  0  0	
 2  0 484536 4893640 29511364 176505104    0    0     0   278 3448 4570  0  0 100  0  0	
 1  0 484536 4891300 29511364 176505152    0    0     0   263 3854 4838  0  0 99  0  0	
 2  0 484536 4891360 29511364 176505232    0    0     0   417 3932 5033  0  0 99  0  0	
 6  0 484536 4894316 29511364 176505232    0    0     0   780 3495 4292  0  0 100  0  0	
 2  0 484536 4896348 29511364 176505392    0    0     0   295 4118 4996  0  0 99  0  0	
 0  0 484536 4888508 29511364 176505456    0    0     0   210 3445 4255  0  0 99  0  0	
 0  0 484536 4885444 29511364 176505504    0    0     0   367 3716 4767  0  0 99  0  0	
 1  0 484536 4885856 29511364 176505568    0    0     0   193 3619 5103  0  0 100  0  0	
 2  0 484536 4886180 29511364 176505568    0    0     0   630 3388 4474  0  0 100  0  0	
 1  0 484536 4885060 29511364 176505760    0    0     0   404 4305 5404  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 484536 5003616 29511364 176505856    0    0     8   240 4519 5274  1  0 99  0  0	
 1  0 484536 5005440 29511364 176505904    0    0     4   344 4408 5315  1  0 99  0  0	
 2  0 484536 5003264 29511364 176506016    0    0     4   572 5784 7349  2  0 98  0  0	
 0  0 484536 4998204 29511364 176506048    0    0     0   408 4683 5621  1  0 99  0  0	
 1  0 484536 5000304 29511364 176506272    0    0     0   373 4533 5593  1  0 99  0  0	
 1  0 484536 5000564 29511364 176506304    0    0     0   214 3232 4366  0  0 100  0  0	
