procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 485456 6479992 29517580 175834512    0    0     0   207 21160 22256 12  2 86  0  0	
 8  0 485456 6480300 29517580 175834528    0    0     0   282 17197 15028  9  2 89  0  0	
 9  0 485452 6489648 29517580 175834608    0    0     0   463 21106 15350  8  5 87  0  0	
 7  0 485452 6484200 29517580 175834672    0    0     0   757 25863 24210 10  5 85  0  0	
 7  0 485452 6496168 29517580 175834816    0    0     0   284 17030 14586  8  3 89  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 485452 6491824 29517580 175834864    0    0     0   256 18594 21224  9  2 90  0  0	
 4  0 485452 6500188 29517580 175834880    0    0     0   273 18400 14998  8  5 87  0  0	
 7  0 485452 6492184 29517580 175834944    0    0     0   382 16325 14963  8  2 89  0  0	
 2  0 485452 6479876 29517580 175835008    0    0     0   526 19883 21670 11  2 87  0  0	
 6  0 485452 6488320 29517580 175835168    0    0     0   299 17704 14705  8  4 88  0  0	
12  0 485452 6479136 29517580 175835216    0    0     0   196 20743 20865  9  3 88  0  0	
 6  0 485452 6474000 29517580 175835232    0    0     0   394 17411 15437  9  2 89  0  0	
 6  0 485452 6474312 29517580 175835264    0    0     0   330 16552 15100  8  2 90  0  0	
 0  0 485452 6476028 29517580 175835344    0    0     0  1456 18546 20220  8  2 90  0  0	
 5  0 485452 6467800 29517580 175835504    0    0     0   382 16595 14252  8  2 90  0  0	
 7  0 485452 6483412 29517580 175835552    0    0     0   311 24913 22921 12  5 83  0  0	
 7  0 485452 6476912 29517580 175835568    0    0     0   452 16163 14521  8  2 90  0  0	
 2  0 485452 6477424 29517580 175835616    0    0     0   366 14658 13974  7  2 91  0  0	
 3  0 485452 6473768 29517580 175835696    0    0     0   841 19251 21501  9  2 90  0  0	
 1  0 485452 6472916 29517580 175835856    0    0     0   392 15542 14081  8  2 91  0  0	
 9  0 485452 6472256 29517580 175836048    0    0     0   362 20992 22089 11  2 87  0  0	
 5  0 485452 6463788 29517580 175836064    0    0     0   293 15460 13994  7  2 91  0  0	
12  0 485444 6455008 29517580 175836128   32    0    32   392 16169 14706  8  2 90  0  0	
 3  0 485444 6456580 29517580 175836192    0    0     0   782 20531 22867 10  2 89  0  0	
 3  0 485444 6457280 29517580 175836336    0    0     0   262 14249 13430  7  1 91  0  0	
 1  0 485444 6459176 29517580 175836448    0    0     0   306 21884 23540 11  2 88  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 485444 6463104 29517580 175836480    0    0     0   352 15612 14410  8  2 90  0  0	
10  0 485444 6460152 29517580 175836528    0    0     0   304 16627 15361  9  2 90  0  0	
 1  0 485444 6462108 29517580 175836608    0    0     0   396 20715 22571 11  2 87  0  0	
 3  0 485444 6461200 29517580 175836656    0    0     0   409 16461 15454  8  2 90  0  0	
 2  0 485444 6462028 29517580 175836864    0    0     0   190 20148 22459  9  2 89  0  0	
 3  0 485444 6462660 29517580 175836880    0    0     0   174 16037 14644  8  2 90  0  0	
 7  0 485444 6464044 29517580 175836960    0    0     0   279 16772 15094  8  2 90  0  0	
 4  0 485444 6460732 29517580 175837024    0    0     0   684 20473 22622  9  2 89  0  0	
 7  0 485444 6458000 29517580 175837168    0    0     0   319 16592 14991  9  2 90  0  0	
 5  0 485444 6460068 29517580 175837216    0    0     0   489 21636 22307 12  2 86  0  0	
 6  0 485444 6456172 29517580 175837216    0    0     0   210 16282 14723  8  2 90  0  0	
 4  0 485444 6468112 29517580 175837280    0    0     0   505 17568 15900  9  2 89  0  0	
 7  0 485444 6467660 29517580 175837376    0    0     0   886 22200 23830 11  2 87  0  0	
 2  0 485444 6467764 29517580 175837408    0    0     0   254 17689 15516  9  2 89  0  0	
 5  0 485444 6476228 29517580 175837568    0    0     0   279 21340 22583  9  3 88  0  0	
 2  0 485444 6476784 29517580 175837568    0    0     0   360 17136 14506  8  4 88  0  0	
 3  0 485444 6471528 29517580 175837632    0    0     0   229 17702 15608  9  2 89  0  0	
 1  0 485444 6469108 29517580 175837696    0    0     0   855 22628 23394 12  2 86  0  0	
 2  0 485444 6469440 29517580 175837856    0    0     0   298 13628 13092  7  1 92  0  0	
 3  0 485444 6470144 29517580 175837888    0    0     0   226 21715 23990 10  2 88  0  0	
 2  0 485444 6470704 29517580 175837920    0    0     0   233 15090 14069  8  2 91  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 485444 6469440 29517580 175837984    0    0     0   384 15795 14962  7  2 91  0  0	
 5  0 485444 6467816 29517580 175838032    0    0     0   694 21462 23483 12  2 87  0  0	
 4  0 485444 6460096 29517580 175838208    0    0     0   408 18404 16938  9  2 89  0  0	
 2  0 485444 6460596 29517580 175838288    0    0     0   364 23019 25758 11  2 87  0  0	
 4  0 485444 6457448 29517580 175838336    0    0     0   374 16168 14782  8  2 90  0  0	
 5  0 485444 6452168 29517580 175838384    0    0     0   435 15524 14525  8  2 90  0  0	
 5  0 485444 6451444 29517580 175838480    0    0     0   810 26611 27502 15  2 83  0  0	
 2  0 485444 6449688 29517580 175838640    0    0     0   336 17465 15597  9  2 89  0  0	
 5  0 485444 6450268 29517580 175838736    0    0     0   330 23305 25571 13  2 85  0  0	
 1  0 485444 6453964 29517580 175838784    0    0     0   364 15231 14560  8  2 91  0  0	
 7  0 485444 6454096 29517580 175838848    0    0     0   477 15621 14810  8  2 91  0  0	
 4  0 485444 6450796 29517580 175838944    0    0     0   458 24972 26962 12  2 86  0  0	
 6  0 485444 6449816 29517580 175839136    0    0     0   498 14328 13727  7  2 92  0  0	
 4  0 485444 6431392 29517580 175839232    0    0     0   191 20804 22515 11  2 87  0  0	
 6  0 485444 6431196 29517580 175839264    0    0     0   232 17980 16112 10  2 89  0  0	
 4  0 485444 6432752 29517580 175839360    0    0     0   432 15983 14722  8  2 90  0  0	
 0  0 485444 6434900 29517580 175839408    0    0     0   677 20318 23091  9  2 89  0  0	
