procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  25456 1331596 156928 2927292    0    0     0     0  368  761  0  0 99  0
 0  0  25456 1331816 156928 2927296    0    0     0    10  371  748  0  0 100  0
 0  0  25456 1330052 156928 2927300    0    0     0     2  350  743  1  0 99  0
 0  0  25456 1329928 156928 2927300    0    0     0     0  363  721  1  0 99  0
 0  0  25456 1329960 156928 2927300    0    0     0    24  425  690  3  4 93  0
 0  0  25456 1329900 156928 2927300    0    0     0     0  378  756  0  0 99  0
 0  0  25456 1331040 156928 2927296    0    0     0     0  365  730  1  0 99  0
 0  0  25456 1331104 156928 2927296    0    0     0    30  354  728  1  0 99  0
 0  0  25456 1330980 156928 2927296    0    0     0     0  326  637  0  0 100  0
 0  0  25456 1331600 156928 2927296    0    0     0     0  306  648  0  0 100  0
 0  0  25456 1331568 156928 2927296    0    0     0     6  340  698  1  0 99  0
 0  0  25456 1331444 156928 2927300    0    0     0     0  445  796  1  0 99  0
 0  0  25456 1331444 156928 2927300    0    0     0    26  320  677  1  0 99  0
 0  0  25456 1331320 156928 2927304    0    0     0    20  322  605  0  0 100  0
 0  0  25456 1331320 156928 2927304    0    0     0     0  316  683  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  25456 1331660 156928 2927304    0    0     0     0  327  697  0  0 99  0
 0  0  25456 1331660 156928 2927304    0    0     0     8  362  716  1  0 99  0
 0  0  25456 1331660 156928 2927304    0    0     0    14  324  669  1  0 99  0
 0  0  25456 1331412 156928 2927304    0    0     0     0  314  610  0  0 100  0
 0  0  25456 1331196 156928 2927304    0    0     0    12  417  766  3  3 93  0
 0  0  25456 1330916 156928 2927304    0    0     0     0  335  691  1  0 99  0
 0  0  25456 1331412 156928 2927304    0    0     0     0  342  692  0  0 99  0
 0  0  25456 1331412 156928 2927304    0    0     0     6  344  716  0  0 99  0
 0  0  25456 1331288 156928 2927304    0    0     0     0  333  628  0  0 99  0
 0  0  25456 1331164 156928 2927304    0    0     0    28  331  696  1  0 99  0
 0  0  25456 1331008 156928 2927304    0    0     0     6  331  682  0  0 99  0
 0  0  25456 1330720 156928 2927308    0    0     0     0  481  853  1  0 99  0
 0  0  25456 1331064 156928 2927308    0    0     0     2  311  681  1  0 99  0
 0  0  25456 1331092 156928 2927308    0    0     0    12  329  654  0  0 99  0
 0  0  25456 1331068 156928 2927308    0    0     0    16  323  702  1  0 99  0
 0  0  25456 1330944 156928 2927308    0    0     0     0  331  702  0  0 99  0
 0  0  25456 1329060 156928 2927316    0    0     0    26  398  834  1  1 99  0
 0  0  25456 1329060 156928 2927316    0    0     0     0  344  734  1  0 99  0
 0  0  25456 1328904 156928 2927316    0    0     0     0  306  606  0  0 99  0
 0  0  25456 1329400 156928 2927316    0    0     0    20  443  798  3  4 93  0
 0  0  25456 1330200 156928 2927312    0    0     0     0  332  743  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  25456 1330168 156928 2927312    0    0     0     0  361  756  0  0 99  0
 0  0  25456 1330168 156928 2927312    0    0     0    22  341  735  0  0 99  0
 0  0  25456 1330168 156928 2927312    0    0     0     0  328  614  0  0 99  0
 0  0  25456 1330044 156928 2927312    0    0     0     6  304  676  0  0 100  0
 0  0  25456 1330388 156928 2927312    0    0     0     0  338  749  1  0 99  0
 0  0  25456 1330480 156928 2927316    0    0     0     0  427  834  0  0 100  0
 0  0  25456 1330232 156928 2927316    0    0     0    46  348  745  0  0 99  0
 0  0  25456 1330232 156928 2927316    0    0     0     0  321  616  0  0 100  0
 0  0  25456 1330076 156928 2927316    0    0     0     0  329  728  0  0 99  0
 0  0  25456 1329952 156928 2927316    0    0     0     6  357  738  1  0 99  0
 0  0  25456 1330296 156928 2927316    0    0     0     0  357  721  1  0 99  0
 0  0  25456 1330324 156928 2927316    0    0     0    20  343  736  0  0 99  0
 0  0  25456 1330292 156928 2927316    0    0     0    10  318  615  1  0 99  0
